P11,P22,P33,P44,P13,P14,P24,P12,P23,P34,sep
0.3635622062288814,0.36356220622888147,0.3635622062288815,0.36356220622888147,0.3635622062288814,0.36356220622888114,0.3635622062288814,0.36356220622888125,0.36356220622888136,0.3635622062288813,True
0.4789198786273968,0.47891987862739693,0.478919878627397,0.47891987862739693,0.47891987862739704,0.4789198786273969,0.47891987862739693,0.47891987862739693,0.478919878627397,0.4789198786273967,True
0.17657326356437328,0.06715513900728344,0.05546917411798372,0.06200252078242111,0.2565113402367988,0.17935137974980778,0.10568721229363605,0.3117958379540636,0.15463145058575511,0.023350494597901884,False
0.022838607252313462,0.022838607252312258,0.022838607252313455,0.02283860725231347,0.02283860725231345,0.022838607252313462,0.022838607252313507,0.02283860725231362,0.022838607252313514,0.02283860725231345,True
0.13908880835146123,0.34725529545422035,0.24999662534953163,0.20147649849788815,0.49136745312773844,0.38284217198071496,0.4883431455959662,0.23387687347638353,0.27257188251163633,0.224575246364648,False
0.10612193529298841,0.10612193529298827,0.10612193529298844,0.10612193529298843,0.1061219352929884,0.10612193529298841,0.10612193529298851,0.10612193529298833,0.10612193529298826,0.10612193529298843,True
0.44878328538301226,0.44878328538301254,0.44878328538301215,0.44878328538301243,0.44878328538301226,0.44878328538301226,0.44878328538301243,0.4487832853830124,0.4487832853830122,0.44878328538301243,True
0.20387251814177001,0.4983021454383737,0.34009042704790987,0.12474328068433799,0.3821355611024098,0.34398072761157683,0.11058542754113544,0.3726198110464169,0.1892239176264133,0.1925939077314801,False
0.11985342925415474,0.11985342925415461,0.11985342925415465,0.11985342925415467,0.11985342925415464,0.11985342925415465,0.11985342925415464,0.11985342925415464,0.11985342925415464,0.11985342925415464,True
0.14459497419483064,0.2840113187159852,0.15462767880864545,0.2628741524649736,0.2319470942411482,0.32075042938974546,0.42259732933251865,0.23521625598633117,0.326234004388584,0.25386243481121795,False
0.47906921065156616,0.4137811821529253,0.4269048616325729,0.27947257541455217,0.4995949889135014,0.3416594159977723,0.13891588268934588,0.46029014962189685,0.3864351604047979,0.3474006550066333,False
0.12463398434314739,0.31548072708121383,0.3482225777001576,0.29201997891838855,0.24323131156401542,0.1972480471132519,0.34088206800986814,0.1637056407037553,0.39345031261799546,0.2857761037346461,False
0.17863394698141136,0.17863394698141138,0.17863394698141133,0.17863394698141138,0.17863394698141127,0.17863394698141136,0.17863394698141136,0.17863394698141138,0.17863394698141138,0.1786339469814114,True
0.2666555473094604,0.11666295022992518,0.01713186707318899,0.2563425779054941,0.29797449715157565,0.49026021970832045,0.17400598200495576,0.07873383214580958,0.4806384466655057,0.1468518399958185,False
0.35507144604382196,0.35507144604382224,0.355071446043822,0.35507144604382224,0.35507144604382185,0.35507144604382246,0.3550714460438222,0.355071446043822,0.3550714460438222,0.3550714460438222,True
