OBS_0,OBS_1,OBS_2,OBS_3,OBS_4,OBS_5,OBS_6,OBS_7,OBS_8,OBS_9,separable
0.2683716267354472,0.24611220012114168,0.3202771412291836,0.15777877997330622,0.25575222801173136,0.17406069315260386,0.3016788294453237,0.233189848920614,0.20888055674017064,0.2418139661657542,False
0.24190331199697812,0.239769978243816,0.25826365922434935,0.25327288479780585,0.24381488638592155,0.2777751152323406,0.22354684442881398,0.237721062872436,0.23780861904973313,0.2415040133125616,False
0.18532567047062776,0.22387934805523738,0.2408266337152188,0.24986775905473696,0.23262589292943583,0.24210921369554858,0.2465528991355308,0.2339268942562508,0.23409508070917168,0.24690241865061877,True
0.23333384680846317,0.2521643061363107,0.27802622592647874,0.24975102199931562,0.23625255408073692,0.24090112506896283,0.2459406761681047,0.24804421010791192,0.28044781063699104,0.2699904115044623,False
0.23433101824519703,0.2348996962316374,0.2502946443555025,0.2489888079105257,0.24757470671658582,0.2527473833933661,0.2507557391064278,0.24055688105410272,0.25709447769563193,0.25006094223484243,True
0.19841991908868625,0.2005972276817326,0.233780721395723,0.22694316142100196,0.2765432725435541,0.2195277271962641,0.22941895362341191,0.21017837006675963,0.2895079976082177,0.23627633062427614,False
0.25201651763749205,0.24288700829360788,0.2473243185020524,0.24284143101336025,0.24673460305691883,0.25055864379026893,0.24171231417134695,0.25155779737828954,0.24801927105486693,0.25095340259215054,True
0.17094382585739407,0.17724714788457058,0.23266517866102768,0.19312906523013212,0.2568254004844095,0.27424325542891315,0.2726676394308803,0.24911550073667996,0.2724075236772726,0.28950057312665894,False
0.1982254351977331,0.2065803625549703,0.2500022490067202,0.24518153978264076,0.2608467575744549,0.2394086280489641,0.23715235044223215,0.12705697334303148,0.2121386816613669,0.2643572056663276,False
0.24723387796710594,0.19598029103433787,0.22729569935054278,0.28192596029508804,0.2831388243803374,0.33915667820589634,0.2549208381622936,0.27941255369639956,0.25484259109428614,0.2516838837185842,False
0.2494691684352454,0.24978767322771567,0.24997512785691103,0.24965874061288768,0.2500484869133188,0.24970114192019863,0.25028527243552423,0.2499366412392051,0.2506736106348227,0.25007939468630086,True
0.15979905462464447,0.16564656065768996,0.2097516117119026,0.20580600523834658,0.17423347345565565,0.19183567506755606,0.19984765395414772,0.1391741776558895,0.19261013635413224,0.2325641615912243,True
0.18027695067725893,0.22894355180304554,0.24649271310929413,0.2557926095274433,0.2516245907531843,0.21312070859062565,0.2169347579053511,0.1977335506784195,0.25580003735836465,0.24280159764771198,True
0.2620535204338639,0.24236329072593404,0.3031129075337002,0.24829310736838692,0.2833793904432639,0.2200327712978683,0.24114512250881526,0.25189037206772896,0.2483709128572386,0.26840295181256013,True
0.2767415024328971,0.2631158498550956,0.2632924664955456,0.26168847485358987,0.2652300305947998,0.2600665055304322,0.23726931576120755,0.27779703917642623,0.25025866238851546,0.24288755334043344,True
0.1965512909336801,0.22877125655073272,0.30750511476441444,0.22087230963087842,0.2715936860207953,0.23881572310495067,0.23181884190805524,0.19080112400455906,0.28473643759477696,0.27055116457170225,False
0.2278815379935794,0.23555292038705675,0.2496022753779069,0.2446229767481308,0.2702351470712749,0.24208493582788898,0.24588439606463972,0.22783341134946639,0.2574936883272555,0.25081178345484834,True
0.23146056556519104,0.19898622439459474,0.3002395874959376,0.24551864499625192,0.23917293506732515,0.22264279453187066,0.24140804041594643,0.23682687960919363,0.22459457576102582,0.3078351710541459,True
0.24616883492922867,0.24858546049647698,0.23268547550373392,0.2476531529307535,0.25221565087576053,0.2541940059191002,0.2484917529583171,0.2630174294393351,0.2430194367125586,0.23446711718241253,True
0.24214745932697293,0.24174555147981447,0.24540793951354756,0.2038646700446588,0.23553856026354267,0.2650411337352199,0.25880969279369254,0.2375846192744585,0.2400868686720363,0.2536637846896519,True
0.24077635715658763,0.24160547845530095,0.23001615841674308,0.21312389757276903,0.26236698099373773,0.25590744574765656,0.23981803844793512,0.2742572983265357,0.2393287880107517,0.2258779120010977,True
0.23804767289445844,0.2607378898721968,0.24820540241990222,0.2333784527742202,0.24945422757785574,0.23275520490068694,0.23469449029870726,0.2616931917752998,0.24439552583068427,0.22370348420645222,True
0.19347007171598388,0.21319895680575365,0.2511818790632862,0.22682176462831444,0.22702545644498937,0.2361017817109813,0.23364389960190396,0.21625121532100514,0.2319233323359904,0.2507993954832113,True
0.2557624427305233,0.25672557864963585,0.2462822841485828,0.2451767785004168,0.2561672808458295,0.2465374054952382,0.25736255205018577,0.2563251327877032,0.26315384244603446,0.2398359828477469,True
0.2653483087622134,0.22965388999565886,0.26303530157282534,0.2513783738534876,0.3281023412310655,0.23916270703829817,0.24803337140336318,0.22521001690955833,0.1970347986016757,0.2487264787402314,False
0.26015789463064865,0.2698069227203931,0.26797916913575015,0.27978580973517014,0.2531722898185395,0.2648146399680974,0.2689235807641942,0.2715643647502823,0.254536106696938,0.2867911352918437,True
0.250462350953848,0.24714615219692654,0.23626487956591546,0.24755144678795687,0.24433877966864412,0.24972452294412972,0.24748869990462233,0.25442024128209206,0.25472393303241836,0.2508160288156816,True
0.16323799464100866,0.2772560572218189,0.25834414922135635,0.21788825879563314,0.25180442728288965,0.27754432935750345,0.19869406715944593,0.31568370211547797,0.26871103239922567,0.20874097458072816,False
